"","Iteration","Num_Selected","Selected_Predictors","Sensitivity","Specificity","TP","TN","FP","FN"
"181",181,11,"P26, P32, P43, P63, P72, P91, P94, P143, P244, P256, P292",0.86734693877551,0.892156862745098,85,91,11,13
"182",182,10,"P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.913461538461538,0.833333333333333,95,80,16,9
"183",183,7,"P26, P81, P91, P94, P143, P256, P292",0.85,0.81,85,81,19,15
"184",184,9,"P7, P32, P63, P81, P94, P143, P244, P256, P292",0.858695652173913,0.907407407407407,79,98,10,13
"185",185,7,"P63, P81, P91, P94, P143, P256, P292",0.849462365591398,0.850467289719626,79,91,16,14
"186",186,8,"P32, P63, P72, P94, P143, P244, P256, P292",0.837837837837838,0.921348314606742,93,82,7,18
"187",187,7,"P32, P81, P94, P143, P244, P256, P292",0.830357142857143,0.829545454545455,93,73,15,19
"188",188,8,"P26, P32, P81, P94, P143, P244, P256, P292",0.813725490196078,0.897959183673469,83,88,10,19
"189",189,9,"P26, P63, P72, P81, P94, P143, P244, P256, P292",0.843137254901961,0.86734693877551,86,85,13,16
"190",190,10,"P26, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.93939393939394,0.900990099009901,93,91,10,6
"191",191,8,"P32, P63, P72, P81, P94, P143, P256, P292",0.876404494382023,0.882882882882883,78,98,13,11
"192",192,6,"P32, P63, P94, P244, P256, P292",0.845360824742268,0.893203883495146,82,92,11,15
"193",193,9,"P26, P43, P72, P81, P94, P143, P244, P256, P292",0.849056603773585,0.851063829787234,90,80,14,16
"194",194,6,"P63, P94, P143, P244, P256, P292",0.887755102040816,0.892156862745098,87,91,11,11
"195",195,10,"P26, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.896907216494845,0.854368932038835,87,88,15,10
"196",196,10,"P26, P32, P63, P81, P91, P94, P143, P244, P256, P292",0.841584158415842,0.898989898989899,85,89,10,16
"197",197,10,"P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.853211009174312,0.857142857142857,93,78,13,16
"198",198,13,"P7, P26, P32, P43, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.884615384615385,0.854166666666667,92,82,14,12
"199",199,8,"P26, P32, P63, P81, P94, P244, P256, P292",0.858585858585859,0.831683168316832,85,84,17,14
